davissc01,1998,1,LOT,AL,0,1,5,0,0,0,0,23,8,2,0,5,8,0.276,2.35,2,0,0,0,35,1,2
de laFe95,1999,1,KIN,AL,0,1,1,0,0,0,0,6,4,1,0,1,1,0.444,4.5,0,0,0,0,10,0,2
deharri01,1999,1,HIR,NL,0,1,6,1,0,0,0,19,13,6,1,5,3,0.481,8.53,0,2,1,1,35,2,8
deltomi01,2001,1,SEI,AL,1,1,14,1,0,0,0,58,28,12,3,5,19,0.341,5.59,0,2,0,0,89,2,12
DenniSh95,1997,1,LOT,AL,0,3,14,5,0,0,0,99,23,20,4,29,36,0.2,5.45,0,0,1,1,148,6,21
DesaDi95,1961,1,MAI,AL,0,0,2,0,0,0,0,9,4,3,0,2,1,0.0,9.0,0,0,1,0,15,0,3
desseel01,1999,1,YOM,NL,0,1,8,3,0,0,0,49,24,7,2,4,6,0.329,3.86,0,1,1,0,78,1,11
DiazFe80,2006,1,NHF,AL,3,5,8,8,0,0,0,132,47,24,5,16,22,0.275,4.91,2,1,0,0,190,0,28
DiazJo80,2007,1,YBS,NL,3,4,45,1,0,0,2,200,47,34,9,58,61,0.206,4.59,4,2,6,0,306,0,39
DiazRa95,2000,1,SEI,AL,0,0,7,0,0,0,0,25,7,7,1,6,7,0.226,7.56,1,0,0,0,38,3,7
DobasMa95,1961,1,TOE,AL,0,1,4,0,0,0,0,19,9,8,1,2,3,0.0,11.37,0,0,1,0,29,0,8
DoiMa96,1997,1,FDH,AL,0,0,1,0,0,0,0,2,2,2,0,1,0,0.667,27.0,0,0,1,0,6,1,3
DoiMa97,1982,1,LOT,AL,0,0,1,0,0,0,0,3,3,3,1,1,0,0.0,27.0,0,0,0,0,7,0,3
DoiRy95,2004,1,YBS,NL,0,0,3,0,0,0,0,10,4,3,1,3,4,0.308,8.1,1,1,0,0,16,2,3
DoiYo96,1999,1,SEI,AL,0,0,1,0,0,0,0,4,4,4,1,2,1,0.571,27.0,0,0,0,0,9,0,4
DoiYu95,1961,1,HAN,NL,2,1,20,0,0,0,0,157,48,19,1,21,33,0.0,3.27,0,1,3,0,225,0,25
DonouTe95,1982,1,CHU,NL,0,2,9,1,0,0,0,41,25,19,2,14,8,0.0,12.51,0,0,1,0,81,0,22
DooleJi95,1954,1,UNI,AL,3,3,10,7,3,2,0,165,44,15,4,17,16,0.0,2.45,0,0,2,0,224,0,19
DouglSe80,2006,1,HIR,NL,2,2,6,6,1,0,0,96,30,14,3,11,16,0.256,3.94,0,1,2,0,133,0,15
drisktr01,1998,1,YAK,NL,0,1,7,3,0,0,0,45,21,8,2,6,7,0.344,4.8,1,0,2,0,71,0,9
EbaraYo95,1954,1,MAI,AL,1,13,24,9,3,0,0,258,93,53,10,31,48,0.0,5.55,0,1,1,1,374,0,59
EbisuNo96,2000,1,ORX,AL,0,0,1,0,0,0,0,3,1,1,0,1,0,0.25,9.0,0,0,0,0,5,1,1
EdaKo95,1977,1,NHF,AL,0,3,29,0,0,0,1,172,77,41,8,21,14,0.0,6.44,0,0,2,0,259,0,44
EdaTa95,1941,1,HNK,0,0,3,7,5,1,0,0,111,67,38,6,16,6,0.0,9.24,0,0,2,0,187,0,44
EgamiSh95,1955,1,TOE,AL,0,2,3,0,0,0,0,16,13,8,0,3,5,0.0,13.5,0,0,0,0,32,0,10
EgawaSu95,1981,1,YOM,NL,11,7,30,26,3,1,0,501,188,98,34,56,117,0.0,5.28,0,1,3,0,735,0,102
EguchTa95,1991,1,FDH,AL,0,1,6,1,0,0,0,31,13,7,3,4,5,0.31,6.1,0,0,0,0,47,1,7
EgusaHi95,2007,1,HAN,NL,0,0,1,0,0,0,0,9,4,2,1,2,5,0.333,6.0,0,0,1,0,15,0,2
eicheju01,1989,1,YAK,NL,0,3,8,0,0,6,0,23,9,6,0,7,6,0.0,7.04,0,2,0,0,39,0,6
EjiriAk95,1965,1,TAI,NL,0,0,5,0,0,0,0,19,9,3,1,1,1,0.0,4.26,0,0,0,0,30,0,4
EjiriSh95,2007,1,NHF,AL,0,1,3,2,0,0,0,35,15,8,2,3,7,0.319,6.17,0,0,0,0,50,1,8
elvirna01,2000,1,KIN,AL,1,1,6,6,0,0,0,74,27,15,5,11,16,0.276,5.47,0,0,0,0,111,0,16
EmotoKo95,1987,1,CHU,NL,0,0,3,0,0,0,0,6,1,2,0,3,1,0.0,9.0,0,2,1,0,11,0,2
EmotoTa95,1973,1,NAN,AL,0,4,26,0,0,0,0,182,61,34,4,35,29,0.0,5.04,0,5,0,0,267,0,34
EnatsYu95,1969,1,HAN,NL,1,2,20,0,0,0,8,74,22,10,1,12,28,0.0,3.65,0,2,0,0,106,0,11
EndoCh95,1936,2,DAI,0,0,2,2,0,0,0,0,16,13,8,0,4,0,0.0,13.5,0,0,0,0,36,0,14
EndoKa95,1990,1,TAI,NL,2,8,19,11,1,0,0,267,113,61,22,14,69,0.0,6.17,0,2,2,0,384,0,61
EndoMa95,2003,1,CHU,NL,0,0,1,0,0,0,0,9,5,5,1,3,0,0.455,15.0,0,0,0,0,16,0,5
